"is"	"becomes"
"384"	1442	2
"385"	1443	3
"386"	1444	4
"387"	1445	99
"388"	1447	99
"389"	1451	99
"390"	1452	2
"391"	1453	3
"392"	1454	99
"393"	1455	99
"394"	1457	99
"395"	1471	99
"396"	1472	2
"397"	1474	99
"398"	1475	99
"399"	1511	1
"400"	1512	2
"401"	1513	3
"402"	1514	99
"403"	1515	1
"404"	1517	99
"405"	1521	2
"406"	1522	2
"407"	1523	2
"408"	1524	2
"409"	1525	2
"410"	1527	2
"411"	1531	3
"412"	1532	2
"413"	1533	3
"414"	1534	3
"415"	1535	3
"416"	1537	3
"417"	1541	99
"418"	1542	2
"419"	1543	3
"420"	1544	99
"421"	1545	99
"422"	1547	99
"423"	1551	1
"424"	1552	2
"425"	1553	3
"426"	1554	99
"427"	1555	5
"428"	1557	99
"429"	1571	99
"430"	1572	2
"431"	1573	3
"432"	1574	99
"433"	1575	99
"434"	1577	99
"435"	1711	1
"436"	1712	2
"437"	1713	3
"438"	1714	99
"439"	1715	99
"440"	1717	1
"441"	1721	2
"442"	1722	2
"443"	1723	2
"444"	1725	2
"445"	1727	2
"446"	1731	3
"447"	1732	2
"448"	1733	3
"449"	1734	3
"450"	1735	3
"451"	1737	3
"452"	1741	99
"453"	1742	2
"454"	1744	99
"455"	1745	99
"456"	1751	99
"457"	1752	2
"458"	1753	3
"459"	1754	99
"460"	1755	99
"461"	1757	99
"462"	1771	1
"463"	1772	2
"464"	1773	3
"465"	1774	99
"466"	1775	99
"467"	1777	7
"468"	2111	1
"469"	2112	2
"470"	2113	2
"471"	2114	2
"472"	2115	2
"473"	2117	2
"474"	2121	2
"475"	2122	2
"476"	2123	2
"477"	2124	2
"478"	2125	2
"479"	2127	2
"480"	2131	2
"481"	2132	2
"482"	2133	2
"483"	2134	2
"484"	2135	2
"485"	2137	2
"486"	2141	2
"487"	2142	2
"488"	2143	2
"489"	2144	2
"490"	2145	2
"491"	2147	2
"492"	2151	2
"493"	2152	2
"494"	2153	2
"495"	2154	2
"496"	2155	2
"497"	2157	2
"498"	2171	2
"499"	2172	2
"500"	2173	2
"501"	2174	2
"502"	2175	2
"503"	2177	2
"504"	2211	2
"505"	2212	2
"506"	2213	2
"507"	2214	2
"508"	2215	2
"509"	2217	2
"510"	2221	2
"511"	2222	2
"512"	2223	2
"513"	2224	2
"514"	2225	2
"515"	2227	2
"516"	2231	2
"517"	2232	2
"518"	2233	2
"519"	2234	2
"520"	2235	2
"521"	2237	2
"522"	2241	2
"523"	2242	2
"524"	2243	2
"525"	2244	2
"526"	2245	2
"527"	2247	2
"528"	2251	2
"529"	2252	2
